Periodo,Produccion,Stock_Final,Demanda,Stock_Seguridad
Periodo 1,,490293862.016,0.0,0.0
Periodo 2,9784.427899999999,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 3,9308.512099999998,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 4,9270.862500000001,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 5,9230.4642,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 6,10198.8038,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 7,10898.2533,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 8,10940.7602,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 9,10935.617699999999,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 10,10109.4885,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 11,9524.0665,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 12,9749.4454,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 13,12176.9976,2007963632.0655534,10167408954.160046,2372005765.233946
Periodo 14,9793.0,2007963632.0655534,10167408954.160046,2372005765.233946

