product_id,period,demand,production,ending_stock,solution_type
21A,1,321433800.0,5000.0,1000,Heuristic
21A,2,321433800.0,5000.0,0,Heuristic
21A,3,321433800.0,5000.0,0,Heuristic
21A,4,321433800.0,5000.0,0,Heuristic
21A,5,321433800.0,5000.0,0,Heuristic
21A,6,321433800.0,5000.0,0,Heuristic
21A,7,321433800.0,5000.0,0,Heuristic
21A,8,321433800.0,5000.0,0,Heuristic
21A,9,321433800.0,5000.0,0,Heuristic
21A,10,321433800.0,5000.0,0,Heuristic
21A,11,321433800.0,5000.0,0,Heuristic
21A,12,321433800.0,5000.0,0,Heuristic
21A,13,321433800.0,5000.0,0,Heuristic
22B,1,235955150.0,4000.0,1000,Heuristic
22B,2,235955150.0,4000.0,0,Heuristic
22B,3,235955150.0,4000.0,0,Heuristic
22B,4,235955150.0,4000.0,0,Heuristic
22B,5,235955150.0,4000.0,0,Heuristic
22B,6,235955150.0,4000.0,0,Heuristic
22B,7,235955150.0,4000.0,0,Heuristic
22B,8,235955150.0,4000.0,0,Heuristic
22B,9,235955150.0,4000.0,0,Heuristic
22B,10,235955150.0,4000.0,0,Heuristic
22B,11,235955150.0,4000.0,0,Heuristic
22B,12,235955150.0,4000.0,0,Heuristic
22B,13,235955150.0,4000.0,0,Heuristic
23C,1,861523140.0,5000.0,1000,Heuristic
23C,2,861523140.0,5000.0,0,Heuristic
23C,3,861523140.0,5000.0,0,Heuristic
23C,4,861523140.0,5000.0,0,Heuristic
23C,5,861523140.0,5000.0,0,Heuristic
23C,6,861523140.0,5000.0,0,Heuristic
23C,7,861523140.0,5000.0,0,Heuristic
23C,8,861523140.0,5000.0,0,Heuristic
23C,9,861523140.0,5000.0,0,Heuristic
23C,10,861523140.0,5000.0,0,Heuristic
23C,11,861523140.0,5000.0,0,Heuristic
23C,12,861523140.0,5000.0,0,Heuristic
23C,13,861523140.0,5000.0,0,Heuristic
